# SAstep                 <H>               error
499          -0.0199296            0.022044
500         -0.00130539           0.0288362
501           -0.152405           0.0224853
502          -0.0910338           0.0211835
503             0.10341           0.0359138
504             0.09167           0.0297382
505           0.0996234           0.0387523
506            0.216255           0.0391694
507            0.238094           0.0348753
508              0.4607           0.0369923
509            0.344523           0.0418606
510             0.46637           0.0600338
511            0.362908            0.038246
512            0.512737           0.0414096
513             0.71199           0.0649549
514            0.589355           0.0580305
515            0.564173           0.0450236
516            0.701883           0.0429061
517            0.887827              0.0547
518            0.954406           0.0521257
519             1.14909           0.0807047
520               1.278           0.0591443
521             1.45554           0.0714606
522             1.13047           0.0928636
523             1.25133           0.0811855
524            0.703191            0.057661
525            0.845841           0.0514368
526             1.06737           0.0799575
527            0.900648           0.0694188
528            0.869636           0.0750321
529            0.800194           0.0738603
530            0.683269           0.0398898
531            0.595818           0.0482348
532            0.333577           0.0496781
533            0.242614           0.0446888
534            0.172285           0.0285112
535            0.038972           0.0393452
536           -0.169478           0.0207633
537           -0.221261           0.0180909
538           -0.186634           0.0183624
539           -0.144091           0.0196879
540           -0.167617           0.0183573
541           -0.272182           0.0126249
542           -0.155874           0.0230689
543           -0.264856            0.015597
544           -0.349683          0.00922967
545           -0.289358           0.0114698
546           -0.305984           0.0126898
547           -0.330148           0.0119343
548           -0.324651           0.0154728
549           -0.305835           0.0128185
550           -0.283962            0.014561
551           -0.270037           0.0163054
552           -0.126747           0.0186251
553           -0.103382           0.0196649
554           0.0395295           0.0302021
555           -0.033036           0.0372334
556          -0.0911589           0.0281828
557           -0.116548           0.0172804
558           -0.205745           0.0312751
559           -0.283597           0.0182815
560           -0.226866           0.0163194
561           -0.218266           0.0223578
562           -0.204559           0.0162571
563           -0.174617            0.016997
564           -0.150345           0.0201984
565           -0.164006           0.0230143
566           -0.273896           0.0130452
567           -0.179351           0.0243502
568           -0.206677            0.014657
569            -0.22385           0.0154406
570           -0.198481           0.0176177
571          -0.0814221           0.0329464
572           -0.057367           0.0278512
573          -0.0573559            0.033951
574           -0.162465           0.0175038
575           -0.145338            0.026084
576           -0.246447            0.014872
577           -0.207974           0.0177252
578           -0.110852           0.0235007
579         -0.00579269           0.0278733
580           0.0824013           0.0314106
581            0.077751           0.0273875
582           0.0800658           0.0306733
583           0.0759862            0.051861
584            0.136228           0.0395351
585         -0.00321591           0.0333657
586          -0.0363908           0.0434753
587          -0.0527712           0.0311019
588          -0.0991486           0.0302762
589           -0.088899           0.0270814
590           -0.100605           0.0324356
591          -0.0976287           0.0263115
592            0.105333           0.0451389
593           0.0749834           0.0379393
594             0.08821           0.0364842
595            0.028982           0.0300508
596            0.127613           0.0516803
597          -0.0653629           0.0261845
598           -0.113753           0.0224042
599            -0.12925           0.0214458
600           -0.010717           0.0404587
601          -0.0314093           0.0330755
602           -0.064543           0.0261847
603          -0.0469435           0.0400237
604           -0.147791           0.0161918
605           -0.154238           0.0212752
606           -0.202317            0.022121
607           -0.204423           0.0175158
608           -0.158367           0.0191356
609           -0.212006           0.0208463
610           -0.275048           0.0132549
611           -0.294538           0.0111977
612           -0.260114           0.0168266
613           -0.288119           0.0164217
614           -0.300171          0.00888517
615           -0.285065           0.0139546
616           -0.311735           0.0127074
617           -0.227261           0.0204521
618           -0.166577           0.0211054
619           -0.248221           0.0170765
620           -0.149311           0.0186793
621           -0.106609           0.0246684
622           -0.227703           0.0219392
623           -0.167307           0.0160487
624            -0.13617           0.0224221
625           -0.196059           0.0195035
626           -0.199742           0.0262015
627           -0.147418           0.0259919
628          -0.0656159            0.028854
629          -0.0511465           0.0331865
630           -0.103078           0.0281807
631          -0.0682513           0.0278593
632          -0.0843265           0.0367645
633           -0.052943           0.0238714
634           -0.117872           0.0229725
635            -0.11253           0.0212253
636           -0.103404           0.0292774
637           -0.172995           0.0277865
638          -0.0129951           0.0281312
639          -0.0819992           0.0244724
640           -0.105748           0.0261422
641           -0.158065           0.0219975
642           -0.189254            0.020186
643           -0.187907           0.0228307
644          -0.0135527           0.0332692
645           -0.124211            0.023596
646          0.00822941           0.0436892
647          -0.0603447           0.0231004
648          -0.0636576           0.0302472
649           -0.079308           0.0232205
650           -0.170096           0.0337895
651           -0.262711           0.0152581
652           -0.255746           0.0174919
653           -0.318561           0.0112089
654            -0.30707            0.010186
655           -0.325572           0.0118221
656           -0.306205          0.00898119
657           -0.365236           0.0117031
658           -0.390836          0.00487514
659           -0.338144           0.0133833
660           -0.380476          0.00889419
661           -0.407938          0.00670005
662           -0.336217           0.0126937
663           -0.303032           0.0165822
664            -0.26226           0.0158923
665           -0.299441           0.0167084
666           -0.371242          0.00759267
667           -0.354213           0.0079233
668           -0.360986           0.0112934
669           -0.320571           0.0141695
670           -0.335482           0.0122335
671           -0.351803           0.0110347
672           -0.324395           0.0116157
673           -0.259495           0.0157481
