#mu               sigma
1.08087            0.663105
1.10432            0.617618
1.06674            0.657481
1.02619            0.625984
0.982586            0.673443
0.948674            0.658685
0.950444            0.637672
0.947502            0.680293
0.942735            0.668734
0.900038             0.71722
0.854332            0.747713
0.836778            0.744533
0.870533            0.792636
0.91319            0.811975
0.906329            0.795293
0.864154            0.815208
0.817965            0.852677
0.859232            0.889194
0.854188            0.915963
0.839344            0.946957
0.804371             0.95487
0.84556             0.97928
0.82094            0.978367
0.850828             0.95843
0.869146            0.967823
0.842638             0.97582
0.88012            0.944735
0.869631            0.910653
0.879744            0.879902
0.875541            0.835694
0.861299             0.79423
0.843864             0.80407
0.848129            0.833382
0.822101            0.860838
0.841379            0.814344
0.805846            0.807059
0.75679            0.787525
0.78671            0.738126
0.78671            0.738126
0.827932            0.740105
0.825874            0.762532
0.853011            0.785772
0.877322            0.758525
0.87103            0.743702
0.824725            0.753892
0.858387            0.738117
0.837468            0.751605
0.872938            0.796572
0.911746            0.794253
0.937779            0.795907
0.929665            0.834216
0.899018            0.868659
0.901205            0.859971
0.851752            0.894102
0.850412            0.905836
0.848959            0.909511
0.82859            0.939539
0.780514            0.892251
0.818965            0.913452
0.849058             0.94074
0.836616            0.963487
0.884304            0.918092
0.899909            0.954825
0.877397            0.973333
0.919768            0.998789
0.924202            0.951147
0.963222            0.963838
0.978886            0.921747
1.01894            0.920217
1.0637            0.965212
1.02579            0.932352
1.0393            0.918627
1.07176            0.936069
1.09139            0.935804
1.07186             0.97026
1.07921              1.0079
1.0882             1.05207
1.12018             1.01534
1.11441            0.999214
1.07432             1.00143
1.03038             1.00147
1.07149            0.953029
1.0859            0.965674
1.06495            0.976544
1.08225            0.933613
1.08937            0.929316
1.10054             0.89708
1.08378            0.877559
1.03454            0.860522
1.0246            0.842381
1.01018            0.868977
0.985718            0.822119
0.940637            0.777395
0.897487             0.77509
0.878284             0.80443
0.874395             0.81678
0.923286            0.791787
0.915191            0.749552
0.931218            0.788661
0.92178            0.741328
0.891306            0.708857
0.917327            0.726841
0.952324            0.680653
0.909489            0.722625
0.870727            0.735079
0.895668            0.726735
0.848614            0.765459
0.869071            0.775941
0.882765             0.82028
0.880632            0.865859
0.877273            0.910332
0.842987            0.937604
0.832606            0.913169
0.86241            0.871388
0.820724            0.827606
0.823769            0.784022
0.804992            0.829978
0.786763            0.823568
0.82483            0.831708
0.794829            0.868524
0.809382            0.880159
0.801019            0.876593
0.752035            0.829846
0.736381            0.874768
0.729769            0.888427
0.762866            0.856462
0.783408            0.870592
0.830151            0.896786
0.849175            0.894163
0.849175            0.894163
0.871045            0.864468
0.838477            0.841318
0.79349            0.837909
0.773045            0.873804
0.817759            0.904934
0.798731            0.944151
0.825086            0.985003
0.792296             1.01084
0.817877            0.979057
0.80282            0.985417
0.815911            0.983897
0.783535            0.964923
0.739464            0.970407
0.731526            0.967041
0.702709            0.959453
0.728807             0.95011
0.684616            0.970027
0.648694             1.01609
0.696524             1.02217
0.740926             1.01943
0.720912             1.04816
0.733005             1.01697
0.694722             1.04277
0.664717             1.01958
0.631542             1.01398
0.610181             1.02578
0.615259             1.03503
0.629799             1.07114
0.642734             1.02538
0.658175             1.01014
0.625932             0.98124
0.656921            0.938279
0.687258            0.891921
0.711692            0.889155
0.723307            0.901545
0.704979            0.900448
0.689543            0.865144
0.640425            0.854549
0.683108            0.867186
0.667519            0.856031
0.68154            0.828529
0.6787            0.860169
0.70507            0.842485
0.739936            0.855676
0.776954            0.896093
0.757838            0.857544
0.778471            0.890353
0.770961            0.913393
0.742585            0.889667
0.764006            0.907308
0.777357            0.890075
0.771607            0.861977
0.785806            0.858378
0.816542            0.881582
0.833193            0.906973
0.828938            0.897668
0.816313            0.914177
0.850336            0.899438
0.8436            0.878727
0.854052            0.901463
0.839921            0.877868
0.834621            0.867355
0.884589            0.841939
0.892537             0.83589
0.884949            0.874024
0.857942            0.893001
0.872122            0.859402
0.824785            0.851476
0.832174            0.839919
0.850947             0.86563
0.864911            0.889209
0.819034            0.890076
0.820508            0.932246
0.792439            0.934602
0.815865            0.906871
0.824358            0.876121
0.780731            0.871042
0.74449            0.841644
0.788329            0.828273
0.768679            0.795789
0.81093            0.786328
0.831862            0.758782
0.790454             0.78484
0.750777            0.745693
0.73941            0.732685
0.771703            0.759865
0.776466            0.728202
0.798801            0.710287
0.83112            0.753479
0.812832             0.74746
0.862416            0.783615
0.822493             0.76965
0.775773            0.746124
0.775773            0.746124
0.820295            0.722547
0.834234            0.766424
0.805521            0.766647
0.787923            0.744553
0.77996            0.786561
0.82905            0.800308
0.802229            0.845916
0.769277            0.799399
0.816813            0.763935
0.855749            0.734218
0.891808            0.723415
0.865283            0.690449
0.861658             0.72087
0.895794            0.731658
0.879124            0.779052
0.832263            0.805772
0.851567            0.841699
0.82384            0.800474
0.844452            0.835582
0.807169            0.871947
0.782295            0.831604
0.784376            0.877417
0.82826            0.901226
0.814526            0.858573
0.796413            0.822873
0.777849             0.84067
0.751615            0.796302
0.708973            0.770621
0.730897            0.809432
0.692169            0.849408
0.655284            0.834897
0.703959            0.805792
0.699485            0.791375
0.716691            0.774315
0.766492            0.795345
0.730329            0.803983
0.7564            0.819874
0.800615            0.805847
0.817568            0.832932
0.859783             0.81141
0.868612            0.776799
0.86614            0.728667
0.831492            0.683252
0.819768            0.690483
0.828276            0.697506
0.800124            0.736944
0.829743            0.744891
0.8757            0.749009
0.919658            0.791265
0.912561            0.808982
0.885924            0.854736
0.929506            0.840844
0.961368            0.836743
0.967957             0.85962
0.93837            0.892666
0.902486            0.897809
0.944203             0.92467
0.912737            0.971015
0.944146            0.930107
0.900844            0.970251
0.912892            0.931666
0.899207            0.937016
0.89752            0.888197
0.855676            0.889472
0.818914              0.9171
0.829318            0.872489
0.867414            0.838406
0.900274            0.843225
0.854173            0.859076
0.822505            0.883855
0.77392            0.894483
