#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
# Temperatura= 0.5
           8    -0.40704     -0.4087  0.00161929
           9     -0.4136   -0.409244  0.00152816
          10    -0.41364   -0.409684  0.00143717
          11     -0.4118   -0.409876  0.00131933
          12    -0.40812    -0.40973  0.00121748
          13    -0.39888   -0.408895  0.00138057
          14     -0.4088   -0.408889  0.00128198
          15    -0.40988   -0.408955  0.00119821
          16    -0.40712    -0.40884   0.0011288
          17    -0.40816     -0.4088  0.00106311
          18    -0.41552   -0.409173  0.00106759
          19    -0.41076   -0.409257  0.00101466
          20    -0.41424   -0.409506 0.000994047
# Temperatura= 2.4
           1    -0.39864    -0.39864           0
           2    -0.39468    -0.39666  0.00140007
           3     -0.3944   -0.395907  0.00111783
           4    -0.39304    -0.39519  0.00104311
           5    -0.39468   -0.395088 0.000839459
           6    -0.39696     -0.3954 0.000755307
           7    -0.39884   -0.395891 0.000791288
           8    -0.39388    -0.39564 0.000731232
           9    -0.38776   -0.394764  0.00105067
          10    -0.39652    -0.39494 0.000960154
          11    -0.39528   -0.394971 0.000873365
          12    -0.38488    -0.39413   0.0011354
          13     -0.3896   -0.393782  0.00110024
          14    -0.39596   -0.393937  0.00103259
          15    -0.39344   -0.393904 0.000964285
          16    -0.39288    -0.39384 0.000906139
          17    -0.39104   -0.393675 0.000867676
          18     -0.3978   -0.393904 0.000849192
          19    -0.39732   -0.394084 0.000823305
          20    -0.38812   -0.393786 0.000834402
# Temperatura= 2.5
           1      -0.385      -0.385           0
           2    -0.37812    -0.38156  0.00243245
           3    -0.38396    -0.38236  0.00174824
           4    -0.38164    -0.38218  0.00132042
           5    -0.38296   -0.382336  0.00106551
           6    -0.38236    -0.38234 0.000887931
           7      -0.383   -0.382434 0.000766074
           8    -0.37308   -0.381265  0.00128283
           9      -0.376    -0.38068  0.00126667
          10     -0.3794   -0.380552  0.00114646
          11    -0.38432   -0.380895  0.00109221
          12    -0.38416   -0.381167  0.00103454
          13    -0.38164   -0.381203 0.000955596
          14    -0.38372   -0.381383 0.000904092
          15    -0.36908   -0.380563  0.00115754
          16    -0.38088   -0.380583  0.00108536
          17    -0.37436   -0.380216  0.00108148
          18      -0.384   -0.380427  0.00104162
          19    -0.37716   -0.380255  0.00100089
          20     -0.3792   -0.380202 0.000952233
# Temperatura= 2.6
           1    -0.36332    -0.36332           0
           2    -0.37808     -0.3707  0.00521845
           3    -0.36272    -0.36804  0.00410125
           4    -0.36532    -0.36736   0.0031318
           5    -0.36308   -0.366504  0.00261982
           6     -0.3698   -0.367053  0.00224003
           7    -0.36288   -0.366457  0.00199779
           8     -0.3646   -0.366225   0.0017615
           9      -0.365   -0.366089  0.00157103
          10    -0.35988   -0.365468  0.00153171
          11     -0.3698   -0.365862  0.00144221
          12    -0.36908    -0.36613  0.00134673
          13    -0.36552   -0.366083  0.00124395
          14    -0.36892   -0.366286  0.00117148
          15     -0.3654   -0.366227  0.00109487
          16     -0.3674     -0.3663   0.0010289
          17    -0.37312   -0.366701  0.00104366
          18    -0.36268   -0.366478   0.0010093
          19    -0.36112   -0.366196 0.000994794
          20    -0.36788    -0.36628 0.000948612
# Temperatura= 2.7
           1    -0.35532    -0.35532           0
           2     -0.3528    -0.35406 0.000890955
           3    -0.35244    -0.35352  0.00073973
           4    -0.35128    -0.35296 0.000736885
           5    -0.35064   -0.352496 0.000720942
           6      -0.348   -0.351747 0.000910417
           7    -0.34456    -0.35072  0.00122981
           8    -0.34636   -0.350175  0.00119073
           9    -0.35632   -0.350858  0.00123881
          10    -0.35484   -0.351256   0.0011772
          11    -0.35556   -0.351647  0.00113334
          12    -0.35904   -0.352263  0.00119466
          13    -0.35276   -0.352302  0.00110337
          14    -0.35532   -0.352517  0.00104541
          15    -0.36184   -0.353139  0.00114567
          16    -0.34868    -0.35286  0.00110744
          17      -0.355   -0.352986  0.00104943
          18    -0.35596   -0.353151  0.00100405
          19    -0.35268   -0.353126  0.00095151
          20    -0.35552   -0.353246 0.000911431
# Temperatura= 2.8
           1    -0.35128    -0.35128           0
           2    -0.34216    -0.34672  0.00322441
           3    -0.34556   -0.346333  0.00217267
           4    -0.33924    -0.34456  0.00223915
           5    -0.34368   -0.344384  0.00179822
           6    -0.34492   -0.344473  0.00150074
           7     -0.3416   -0.344063  0.00134131
           8     -0.3474    -0.34448  0.00123681
           9    -0.34316   -0.344333  0.00110805
          10     -0.3474    -0.34464  0.00103881
          11    -0.34616   -0.344778 0.000953523
          12     -0.3388    -0.34428 0.000995735
          13    -0.34344   -0.344215 0.000921234
          14     -0.3424   -0.344086  0.00086451
          15    -0.33864   -0.343723  0.00087981
          16    -0.34164   -0.343593 0.000834395
          17    -0.34664   -0.343772  0.00080434
          18    -0.34784   -0.343998 0.000790771
          19    -0.34488   -0.344044 0.000750513
          20      -0.341   -0.343892 0.000728259
# Temperatura= 2.9
           1    -0.33564    -0.33564           0
           2    -0.33564    -0.33564           0
           3    -0.32616    -0.33248  0.00258013
           4    -0.33028    -0.33193  0.00199286
           5    -0.32944   -0.331432  0.00165534
           6     -0.3354   -0.332093  0.00150577
           7     -0.3348    -0.33248  0.00133939
           8    -0.32808    -0.33193  0.00127992
           9    -0.33492   -0.332262  0.00118003
          10    -0.33128   -0.332164  0.00106611
          11    -0.32612   -0.331615  0.00110172
          12     -0.3288    -0.33138  0.00103457
          13    -0.33932   -0.331991  0.00112087
          14    -0.33108   -0.331926   0.0010427
          15      -0.332   -0.331931 0.000973194
          16     -0.3262   -0.331573 0.000976055
          17    -0.33528   -0.331791  0.00094269
          18       -0.33   -0.331691 0.000895552
          19    -0.33048   -0.331627 0.000850683
          20    -0.33328    -0.33171 0.000812152
# Temperatura= 3
           1    -0.31864    -0.31864           0
           2    -0.32264    -0.32064  0.00141421
           3    -0.32504   -0.322107  0.00152413
           4    -0.32836    -0.32367  0.00177191
           5    -0.31968   -0.322872  0.00158708
           6     -0.3164   -0.321793  0.00164888
           7    -0.32148   -0.321749  0.00141393
           8    -0.32428   -0.322065   0.0012721
           9    -0.32404   -0.322284  0.00114953
