#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
# Temperatura= 0.5
           7    0.157833    0.157419 0.000282048
           8    0.157716    0.157456 0.000249225
           9    0.156698    0.157372 0.000235324
          10    0.156692    0.157304 0.000221392
          11    0.156979    0.157275 0.000203224
          12     0.15755    0.157297 0.000187578
          13    0.158959    0.157425 0.000212286
          14    0.157445    0.157427 0.000197127
          15    0.157278    0.157417 0.000184236
          16    0.157704    0.157435 0.000173593
          17    0.157544    0.157441 0.000163499
          18    0.156398    0.157383 0.000164373
          19    0.157141     0.15737 0.000156215
          20    0.156598    0.157332 0.000153099
# Temperatura= 2.4
           1    0.146022    0.146022           0
           2    0.146567    0.146295 0.000192831
           3    0.146606    0.146398 0.000153927
           4    0.146792    0.146497 0.000143452
           5    0.146567    0.146511 0.000115456
           6    0.146254    0.146468 0.000103844
           7    0.145994      0.1464 0.000108851
           8    0.146677    0.146435 0.000100584
           9    0.147507    0.146554 0.000143583
          10    0.146315     0.14653 0.000131206
          11    0.146485    0.146526 0.000119342
          12    0.147894     0.14664 0.000154515
          13    0.147259    0.146688 0.000149788
          14    0.146392    0.146666 0.000140573
          15    0.146737    0.146671  0.00013128
          16    0.146813     0.14668 0.000123376
          17    0.147064    0.146703 0.000118166
          18    0.146138    0.146671 0.000115689
          19    0.146204    0.146647  0.00011218
          20    0.147459    0.146687 0.000113683
# Temperatura= 2.5
           1    0.136284    0.136284           0
           2    0.137124    0.136704    0.000297
           3    0.136412    0.136607  0.00021336
           4    0.136696    0.136629 0.000161189
           5    0.136535     0.13661 0.000130051
           6    0.136608     0.13661 0.000108377
           7     0.13653    0.136598 9.34958e-05
           8     0.13773     0.13674 0.000155545
           9     0.13738    0.136811 0.000153661
          10    0.136969    0.136827 0.000139105
          11    0.136368    0.136785  0.00013257
          12    0.136387    0.136752 0.000125596
          13    0.136696    0.136748 0.000116007
          14    0.136441    0.136726 0.000109763
          15    0.138205    0.136824 0.000139893
          16    0.136789    0.136822 0.000131167
          17    0.137577    0.136866 0.000130747
          18    0.136407    0.136841  0.00012595
          19     0.13724    0.136862  0.00012106
          20    0.136993    0.136869 0.000115185
# Temperatura= 2.6
           1    0.128402    0.128402           0
           2    0.126783    0.127593 0.000572331
           3    0.128467    0.127884 0.000449607
           4    0.128187     0.12796 0.000343508
           5    0.128428    0.128053  0.00028729
           6    0.127699    0.127994 0.000245389
           7    0.128449    0.128059 0.000218776
           8    0.128264    0.128085 0.000192924
           9    0.128221      0.1281  0.00017208
          10     0.12877    0.128167 0.000167411
          11    0.127699    0.128125 0.000157498
          12    0.127778    0.128096 0.000146997
          13    0.128165    0.128101 0.000135786
          14    0.127796    0.128079 0.000127828
          15    0.128178    0.128086 0.000119475
          16    0.127961    0.128078 0.000112262
          17    0.127335    0.128034 0.000113859
          18    0.128471    0.128059 0.000110087
          19    0.128638    0.128089 0.000108434
          20    0.127909     0.12808 0.000103385
# Temperatura= 2.7
           1    0.119856    0.119856           0
           2      0.1201    0.119978 8.65436e-05
           3    0.120135     0.12003 7.18312e-05
           4    0.120247    0.120085 7.14517e-05
           5    0.120309    0.120129 6.98293e-05
           6    0.120562    0.120202  8.7828e-05
           7    0.120889      0.1203 0.000118009
           8    0.120718    0.120352 0.000114259
           9    0.119758    0.120286 0.000119108
          10    0.119902    0.120248 0.000113206
          11    0.119832     0.12021 0.000109032
          12    0.119491     0.12015 0.000115229
          13    0.120104    0.120146 0.000106419
          14    0.119856    0.120126 0.000100825
          15    0.119214    0.120065 0.000110912
          16    0.120497    0.120092 0.000107215
          17    0.119887     0.12008 0.000101585
          18    0.119793    0.120064 9.71819e-05
          19    0.120112    0.120066 9.21001e-05
          20    0.119836    0.120055 8.82121e-05
# Temperatura= 2.8
           1    0.111812    0.111812           0
           2    0.112618    0.112215 0.000285196
           3     0.11232     0.11225 0.000192269
           4    0.112872    0.112405 0.000197318
           5    0.112485    0.112421 0.000158499
           6    0.112376    0.112414  0.00013226
           7    0.112667     0.11245 0.000118207
           8    0.112157    0.112413 0.000108947
           9    0.112531    0.112426 9.76191e-05
          10    0.112157      0.1124 9.14929e-05
          11    0.112267    0.112388 8.39651e-05
          12     0.11291    0.112431 8.75334e-05
          13    0.112506    0.112437  8.0991e-05
          14    0.112597    0.112448 7.60119e-05
          15    0.112924     0.11248 7.72739e-05
          16    0.112664    0.112491 7.32908e-05
          17    0.112225    0.112476 7.06409e-05
          18    0.112118    0.112456 6.94521e-05
          19     0.11238    0.112452  6.5912e-05
          20    0.112719    0.112465 6.39577e-05
# Temperatura= 2.9
           1    0.105511    0.105511           0
           2    0.105511    0.105511 9.31323e-10
           3    0.106257    0.105759 0.000203036
           4    0.105935    0.105803 0.000156959
           5    0.106001    0.105843 0.000130453
           6     0.10553    0.105791 0.000118683
           7    0.105578     0.10576 0.000105558
           8    0.106107    0.105804 0.000100886
           9    0.105568    0.105778 9.30086e-05
          10    0.105857    0.105785 8.40425e-05
          11     0.10626    0.105829 8.67667e-05
          12    0.106051    0.105847  8.1495e-05
          13    0.105215    0.105799 8.85353e-05
          14    0.105872    0.105804 8.23679e-05
          15      0.1058    0.105804 7.68771e-05
          16    0.106254    0.105832 7.70486e-05
          17     0.10554    0.105814 7.44084e-05
          18    0.105957    0.105822 7.06956e-05
          19    0.105919    0.105828 6.71592e-05
          20    0.105699    0.105821 6.41103e-05
# Temperatura= 3
           1   0.0998298   0.0998298           0
           2   0.0995448   0.0996873 0.000100767
           3   0.0993721   0.0995823 0.000108964
           4   0.0991311   0.0994695 0.000127361
           5   0.0997561   0.0995268 0.000114061
           6   0.0999879   0.0996036 0.000118137
           7   0.0996278   0.0996071 0.000101311
           8   0.0994269   0.0995846 9.11158e-05
           9   0.0994442    0.099569 8.23154e-05
          10   0.0998468   0.0995968 7.86333e-05
          11    0.099844   0.0996192 7.46277e-05
          12   0.0996421   0.0996211 6.84331e-05
          13   0.0997788   0.0996333 6.42345e-05
          14   0.0995649   0.0996284 5.98318e-05
          15   0.0994154   0.0996142 5.75031e-05
          16    0.100106   0.0996449 6.15702e-05
          17    0.099562     0.09964 5.81412e-05
          18   0.0993056   0.0996215 5.78043e-05
          19   0.0995792   0.0996192 5.48047e-05
          20   0.0997163   0.0996241 5.22787e-05
