#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
# Temperatura= 0.5
           5    -0.44412   -0.444376   0.0018171
           6    -0.44488    -0.44446  0.00151619
           7    -0.44632   -0.444726  0.00132267
           8    -0.44024   -0.444165  0.00127064
           9    -0.44544   -0.444307  0.00113733
          10    -0.44484    -0.44436  0.00102484
          11     -0.4466   -0.444564 0.000951692
          12    -0.44452    -0.44456 0.000872391
          13    -0.43884    -0.44412   0.0009095
          14    -0.44668   -0.444303 0.000862722
          15    -0.43992   -0.444011 0.000853254
          16    -0.44572   -0.444118 0.000806586
          17    -0.44944   -0.444431  0.00081765
          18    -0.44452   -0.444436  0.00077224
          19    -0.44192   -0.444303 0.000742859
          20    -0.44476   -0.444326 0.000706067
# Temperatura= 2.2
           1    -0.42512    -0.42512           0
           2    -0.42388     -0.4245 0.000438406
           3    -0.42556   -0.424853 0.000410672
           4    -0.42444    -0.42475 0.000320741
           5    -0.42768   -0.425336 0.000583572
           6     -0.4218   -0.424747 0.000725208
           7    -0.42716   -0.425091 0.000698767
           8    -0.42268    -0.42479 0.000673303
           9    -0.42248   -0.424533 0.000645562
          10    -0.42468   -0.424548 0.000581173
          11    -0.43068   -0.425105 0.000749431
          12    -0.42484   -0.425083 0.000687305
          13    -0.42544   -0.425111 0.000634983
          14    -0.43444   -0.425777 0.000871777
          15    -0.42368   -0.425637 0.000824793
          16    -0.42464   -0.425575 0.000775596
          17    -0.43036   -0.425856 0.000779375
          18     -0.4184   -0.425442 0.000838973
          19     -0.4328   -0.425829 0.000879662
          20     -0.4214   -0.425608 0.000863109
# Temperatura= 2.3
           1    -0.41264    -0.41264           0
           2    -0.40492    -0.40878  0.00272943
           3    -0.41208    -0.40988  0.00202921
           4     -0.4064    -0.40901   0.0016982
           5    -0.41332   -0.409872  0.00156209
           6    -0.41212   -0.410247  0.00134592
           7      -0.406    -0.40964  0.00128311
           8    -0.40268    -0.40877  0.00138665
           9    -0.40692   -0.408564  0.00124772
          10    -0.41392     -0.4091  0.00123254
          11    -0.41808   -0.409916  0.00136431
          12    -0.41568   -0.410397  0.00133249
          13    -0.41068   -0.410418  0.00123017
          14    -0.40696   -0.410171  0.00116684
          15     -0.4104   -0.410187  0.00108915
          16      -0.404     -0.4098  0.00108755
          17    -0.40748   -0.409664   0.0010321
          18    -0.41328   -0.409864 0.000994127
          19    -0.40776   -0.409754 0.000947954
          20    -0.41048    -0.40979 0.000901252
# Temperatura= 2.4
           1    -0.39852    -0.39852           0
           2    -0.39676    -0.39764 0.000622254
           3    -0.39104    -0.39544  0.00184357
           4    -0.39036    -0.39417  0.00176677
           5    -0.39636   -0.394608   0.0014667
           6    -0.39416   -0.394533  0.00122415
           7    -0.39424   -0.394491  0.00104999
           8    -0.39676   -0.394775 0.000956267
           9    -0.39628   -0.394942 0.000864513
          10    -0.39032    -0.39448  0.00089312
          11    -0.39532   -0.394556 0.000815186
          12    -0.39992   -0.395003 0.000861116
          13     -0.3954   -0.395034 0.000795417
          14     -0.3996    -0.39536 0.000802689
          15     -0.3904   -0.395029 0.000814443
          16    -0.38816     -0.3946 0.000869368
          17    -0.39192   -0.394442 0.000832399
          18    -0.39716   -0.394593  0.00079973
          19    -0.39408   -0.394566 0.000758095
          20    -0.39236   -0.394456 0.000728173
# Temperatura= 2.5
           1    -0.37524    -0.37524           0
           2    -0.37856     -0.3769   0.0011738
           3    -0.38132   -0.378373  0.00143509
           4    -0.38404    -0.37979  0.00163208
           5    -0.38076   -0.379984  0.00131714
           6    -0.38756   -0.381247  0.00159166
           7    -0.38252   -0.381429  0.00137463
           8    -0.37596   -0.380745   0.0013622
           9    -0.37668   -0.380293  0.00128354
          10    -0.38216    -0.38048  0.00116868
          11    -0.37924   -0.380367  0.00106786
          12    -0.38232    -0.38053 0.000991196
          13     -0.3774   -0.380289  0.00094374
          14    -0.38192   -0.380406 0.000883489
          15    -0.36776   -0.379563  0.00115901
          16    -0.37288   -0.379145  0.00115938
          17    -0.37572   -0.378944  0.00110855
          18    -0.38396   -0.379222  0.00108143
          19    -0.38196   -0.379366  0.00103407
          20    -0.37528   -0.379162  0.00100235
# Temperatura= 2.6
           1      -0.366      -0.366           0
           2    -0.37588    -0.37094  0.00349311
           3      -0.365    -0.36896  0.00283489
           4      -0.359    -0.36647  0.00302831
           5    -0.35924   -0.365024  0.00274626
           6     -0.3668    -0.36532  0.00230445
           7    -0.36844   -0.365766  0.00201789
           8    -0.36804    -0.36605  0.00178556
           9    -0.36888   -0.366364  0.00161462
          10    -0.36488   -0.366216  0.00145996
          11    -0.36604     -0.3662  0.00132733
          12     -0.3676   -0.366317  0.00122183
          13    -0.36736   -0.366397  0.00113048
          14    -0.36856   -0.366551  0.00106024
          15    -0.36964   -0.366757  0.00100935
          16     -0.3724    -0.36711  0.00100599
          17    -0.36952   -0.367252 0.000956752
          18    -0.36192   -0.366956 0.000948344
          19     -0.3618   -0.366684 0.000936446
          20     -0.3698    -0.36684  0.00090249
# Temperatura= 2.7
           1     -0.3522     -0.3522           0
           2    -0.35712    -0.35466  0.00173948
           3    -0.35796    -0.35576  0.00146679
           4     -0.3528    -0.35502  0.00127315
           5      -0.349   -0.353816  0.00148225
           6    -0.35616   -0.354207  0.00128566
           7    -0.35256   -0.353971  0.00112331
           8    -0.34868    -0.35331  0.00116142
           9    -0.35464   -0.353458  0.00104173
          10    -0.35736   -0.353848    0.001008
          11    -0.36108   -0.354505  0.00111026
          12    -0.35808   -0.354803  0.00105694
          13    -0.35688   -0.354963 0.000987634
          14    -0.35584   -0.355026 0.000919073
          15    -0.35808   -0.355229 0.000880068
          16    -0.35612   -0.355285 0.000826823
          17    -0.35332   -0.355169 0.000786224
          18     -0.3494   -0.354849 0.000805233
          19    -0.35228   -0.354714  0.00077412
          20    -0.35252   -0.354604 0.000743144
# Temperatura= 2.8
           1    -0.34444    -0.34444           0
           2    -0.34112    -0.34278   0.0011738
           3    -0.34348   -0.343013 0.000805389
           4    -0.33864    -0.34192  0.00112312
           5    -0.33928   -0.341392  0.00101505
           6     -0.3492   -0.342693  0.00145833
           7    -0.34292   -0.342726  0.00125036
           8    -0.34172     -0.3426  0.00110036
           9    -0.34476    -0.34284  0.00100393
          10     -0.3472   -0.343276 0.000993715
          11    -0.34488   -0.343422 0.000914014
          12    -0.34648   -0.343677 0.000872652
          13       -0.35   -0.344163 0.000931271
          14     -0.3398   -0.343851 0.000915414
          15     -0.3438   -0.343848 0.000854393
          16    -0.33952   -0.343578 0.000842726
          17      -0.342   -0.343485 0.000798246
          18    -0.34676   -0.343667 0.000774361
