#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
# Temperatura= 0.5
          19     1.89654     1.89365   0.0256575
          20     1.73753     1.88585   0.0255346
# Temperatura= 1.8
           1     1.92002     1.92002           0
           2     1.78176     1.85089   0.0488846
           3      1.7536     1.81846   0.0419906
           4     1.61142      1.7667   0.0547821
           5     1.67327     1.74801   0.0469046
           6     1.78236     1.75374   0.0394348
           7     1.57729     1.72853   0.0410749
           8     1.62309     1.71535   0.0379963
           9     1.79769      1.7245   0.0348585
          10     1.72631     1.72468   0.0313732
          11     1.72893     1.72507   0.0285234
          12      1.6884     1.72201   0.0263096
          13      1.6226     1.71436   0.0253728
          14      1.5994     1.70615   0.0248538
          15     1.75987     1.70973   0.0234534
          16     1.63129     1.70483   0.0224942
          17     1.60191     1.69878   0.0219706
          18     1.62696     1.69479   0.0211092
          19     1.82569     1.70168   0.0210926
          20     1.68429     1.70081   0.0200559
# Temperatura= 1.9
           1     1.52459     1.52459           0
           2     1.44297     1.48378   0.0288574
           3     1.49735      1.4883   0.0195895
           4     1.45815     1.48076   0.0160773
           5     1.53821     1.49225   0.0164631
           6     1.36061     1.47031   0.0242769
           7     1.65347     1.49648   0.0319351
           8     1.46316     1.49231   0.0282135
           9     1.56497     1.50039   0.0262082
          10     1.50065     1.50041   0.0235874
          11     1.55756     1.50561   0.0220077
          12     1.51192     1.50613     0.02018
          13     1.48274     1.50433   0.0187078
          14     1.51648      1.5052   0.0173917
          15     1.59716     1.51133   0.0172789
          16     1.46011     1.50813    0.016493
          17     1.41653     1.50274   0.0163794
          18     1.35057     1.49429   0.0175158
          19     1.45518     1.49223   0.0167144
          20     1.50895     1.49307   0.0158996
# Temperatura= 2
           1     1.25938     1.25938           0
           2      1.2656     1.26249   0.0021991
           3     1.31114     1.27871   0.0133218
           4     1.31672     1.28821   0.0129446
           5      1.2832     1.28721   0.0103944
           6     1.31852     1.29243   0.0098856
           7     1.30144     1.29371  0.00855681
           8     1.39208     1.30601   0.0137239
           9     1.29498     1.30478   0.0122536
          10     1.35048     1.30935   0.0118497
          11     1.32088      1.3104   0.0108187
          12     1.35188     1.31386   0.0104547
          13     1.30538     1.31321  0.00967082
          14     1.46442     1.32401   0.0137466
          15      1.3989       1.329   0.0137069
          16     1.35912     1.33088   0.0129789
          17     1.36136     1.33268   0.0123386
          18     1.41376     1.33718   0.0124483
          19      1.3517     1.33794   0.0118166
          20     1.33538     1.33782   0.0112264
# Temperatura= 2.1
           1     1.22375     1.22375           0
           2     1.28187     1.25281   0.0205465
           3       1.292     1.26587   0.0173608
           4      1.1872      1.2462   0.0214398
           5      1.2411     1.24518   0.0171761
           6     1.26261     1.24809   0.0145569
           7     1.26808     1.25094   0.0127543
           8      1.3085     1.25814   0.0130318
           9     1.21398     1.25323   0.0124733
          10     1.28678     1.25659   0.0116684
          11      1.3292     1.26319   0.0123344
          12     1.34183     1.26974   0.0129308
          13     1.12589     1.25868   0.0159845
          14     1.22118       1.256   0.0150654
          15      1.2587     1.25618   0.0140621
          16     1.10834     1.24694   0.0159322
          17     1.24078     1.24658   0.0149991
          18     1.26566     1.24764   0.0142032
          19     1.16038     1.24304   0.0141787
          20     1.21019      1.2414   0.0135646
# Temperatura= 2.2
           1     1.11305     1.11305           0
           2     1.08036     1.09671    0.011558
           3     1.05551     1.08298   0.0136055
           4     1.07733     1.08156   0.0102771
           5     1.21111     1.10747    0.024589
           6     1.11647     1.10897   0.0205366
           7     1.20804     1.12312   0.0219437
           8     1.09722     1.11989   0.0194382
           9        1.14     1.12212   0.0174064
          10     1.08925     1.11883    0.015973
          11     1.09322     1.11651   0.0146897
          12     1.17305     1.12122   0.0142013
          13     1.18525     1.12614    0.013937
          14     1.21787      1.1327   0.0143995
          15      1.0922        1.13   0.0136903
          16     1.15235     1.13139   0.0129057
          17     1.18302     1.13443   0.0124987
          18      1.0934     1.13215   0.0120104
          19     1.11753     1.13138   0.0114029
          20     1.09145     1.12938   0.0110061
# Temperatura= 2.3
           1     1.05235     1.05235           0
           2     1.06605      1.0592  0.00484522
           3     1.12101      1.0798   0.0171295
           4      1.0869     1.08158   0.0129388
           5    0.984522     1.06217   0.0202134
           6     1.01579     1.05444   0.0182626
           7     1.00873     1.04791   0.0167804
           8     1.02701      1.0453   0.0148848
           9     1.10412     1.05183   0.0145957
          10     1.01296     1.04794    0.013644
          11    0.981635     1.04192   0.0136706
          12     1.04318     1.04202   0.0125318
          13     1.01254     1.03975   0.0117712
          14     1.04127     1.03986   0.0109309
          15     1.05597     1.04094   0.0102548
          16    0.967861     1.03637   0.0105821
          17     1.02423     1.03565  0.00998373
          18    0.975496     1.03231  0.00997281
          19     1.02464     1.03191  0.00945609
          20    0.971652      1.0289  0.00945106
# Temperatura= 2.4
           1      1.0352      1.0352           0
           2       1.043      1.0391  0.00275772
           3     0.94965     1.00928   0.0244145
           4     1.02843     1.01407   0.0187744
           5    0.959083     1.00307   0.0179539
           6    0.979117    0.999081   0.0153992
           7    0.863317    0.979686   0.0222855
           8     0.97655    0.979294   0.0195033
           9    0.952933    0.976365   0.0175548
          10    0.985033    0.977232   0.0158207
          11       0.965     0.97612   0.0144215
          12     0.93525    0.972714   0.0136159
          13      0.9841     0.97359   0.0125967
          14    0.989633    0.974736   0.0117489
          15    0.960233    0.973769   0.0110054
          16    0.949217    0.972234    0.010424
          17    0.896533    0.967781   0.0107198
          18    0.943217    0.966417   0.0102108
          19    0.961533     0.96616  0.00967659
          20    0.947083    0.965206  0.00923965
# Temperatura= 2.5
           1    0.867488    0.867488           0
           2    0.869488    0.868488 0.000707107
           3    0.961072    0.899349   0.0252026
           4    0.910736    0.902196    0.019062
           5    0.903616     0.90248   0.0152517
           6    0.871856    0.897376   0.0135369
           7    0.889216     0.89621   0.0116531
           8    0.905456    0.897366   0.0102536
           9    0.827792    0.889636   0.0116701
          10    0.915072    0.892179   0.0107767
          11    0.934944    0.896067   0.0104748
          12    0.943904    0.900053   0.0103327
          13    0.823328    0.894151   0.0110961
          14    0.898448    0.894458   0.0103078
          15    0.816064    0.889232   0.0108651
          16    0.856144    0.887164   0.0103809
          17    0.883472    0.886947  0.00977256
          18    0.864992    0.885727  0.00930544
          19    0.911456    0.887081  0.00891367
          20     0.87816    0.886635  0.00847914
# Temperatura= 2.6
           1    0.801785    0.801785           0
           2    0.882415      0.8421   0.0285073
           3    0.825446    0.836549   0.0195379
           4    0.750123    0.814942   0.0237666
           5    0.821569    0.816268   0.0190502
           6    0.835877    0.819536   0.0161531
           7    0.912723    0.832848   0.0185365
           8       0.874    0.837992   0.0169181
           9    0.831723    0.837296   0.0150527
          10    0.826338      0.8362   0.0135872
          11    0.787708    0.831792   0.0130476
          12    0.817077    0.830565   0.0120178
          13      0.8212    0.829845   0.0111149
          14    0.844108    0.830864   0.0103676
          15    0.866908    0.833267  0.00995096
          16    0.849354    0.834272  0.00937968
          17    0.835062    0.834319  0.00882805
          18      0.8186    0.833445  0.00838068
          19    0.769923    0.830102  0.00858058
          20    0.837092    0.830452  0.00815867
# Temperatura= 2.7
           1    0.746074    0.746074           0
           2    0.691985     0.71903   0.0191233
           3    0.767244    0.735101   0.0182957
           4    0.839867    0.761293   0.0265099
           5    0.748207    0.758676   0.0213367
           6    0.791867    0.764207   0.0184838
           7    0.760519     0.76368   0.0158508
           8     0.77683    0.765324   0.0139544
           9    0.834444    0.773004   0.0143627
          10    0.768193    0.772523   0.0129345
          11        0.79    0.774112   0.0118558
          12    0.760859    0.773007   0.0109191
          13    0.717985    0.768775   0.0108686
          14    0.759037    0.768079   0.0101145
          15    0.804267    0.770492  0.00972363
          16    0.755185    0.769535  0.00916284
          17    0.716533    0.766417   0.0091389
          18     0.72163    0.763929  0.00896351
          19    0.807467    0.766221  0.00877976
          20    0.734978    0.764659   0.0084786
# Temperatura= 2.8
           1    0.748029    0.748029           0
           2      0.7052    0.726614   0.0151422
           3    0.755357    0.736195   0.0127711
           4    0.702757    0.727836   0.0120065
           5    0.724714    0.727211   0.0096214
           6    0.721486    0.726257  0.00806502
           7      0.8231    0.740092   0.0145549
           8    0.736771    0.739677   0.0127414
           9    0.720814    0.737581   0.0114968
          10    0.803543    0.744177   0.0120922
          11    0.750371     0.74474    0.011006
          12    0.730057    0.743517   0.0101566
          13    0.743471    0.743513  0.00937536
          14    0.754771    0.744317  0.00874011
          15    0.745857     0.74442  0.00815804
          16    0.737671    0.743998  0.00765906
          17    0.723871    0.742814  0.00729946
          18    0.677229    0.739171  0.00775015
          19    0.741114    0.739273  0.00734293
          20    0.731571    0.738888  0.00698587
# Temperatura= 2.9
           1    0.675241    0.675241           0
           2    0.705283    0.690262   0.0106212
           3    0.657393    0.679306    0.011409
           4    0.678979    0.679224  0.00855704
           5    0.686028    0.680585  0.00695298
           6    0.719848    0.687129  0.00832213
           7    0.665931      0.6841  0.00766443
           8    0.694234    0.685367  0.00681025
           9      0.6508    0.681526  0.00705395
          10    0.725172    0.685891  0.00757951
          11    0.681752    0.685515   0.0068998
          12    0.672303    0.684414  0.00641205
          13    0.763076    0.690465  0.00829636
          14    0.694634    0.690763  0.00770911
          15    0.691972    0.690843  0.00719559
          16    0.685531    0.690511  0.00675352
          17    0.685007    0.690187  0.00636401
          18    0.655821    0.688278  0.00629034
          19    0.688593    0.688295  0.00595929
          20    0.674703    0.687615  0.00569994
# Temperatura= 3
           1    0.661133    0.661133           0
           2    0.639187     0.65016  0.00775932
           3     0.65808      0.6528  0.00560402
           4    0.657907    0.654077  0.00434601
           5     0.61672    0.646605  0.00753292
           6    0.632147    0.644196  0.00665172
           7      0.6238    0.641282  0.00630741
           8    0.716227     0.65065   0.0103562
           9    0.649827    0.650559  0.00920589
          10    0.626307    0.648133  0.00859881
          11    0.642107    0.647585  0.00783453
          12     0.60764    0.644257  0.00785707
          13    0.643653     0.64421  0.00725282
          14      0.6128    0.641967  0.00707327
          15    0.686707    0.644949  0.00720319
          16    0.637293    0.644471  0.00676886
          17    0.612147    0.642569  0.00663238
          18     0.65888    0.643476  0.00632551
          19    0.648867    0.643759  0.00599895
          20    0.713413    0.647242  0.00663336
