#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
# Temperatura= 0.5
          20     0.01308    0.028568  0.00231114
# Temperatura= 2.1
           1     0.01862     0.01862           0
           2     0.02916     0.02389  0.00372645
           3     0.01418   0.0206533  0.00362709
           4     0.02342    0.021345  0.00278548
           5     0.01746    0.020568  0.00233424
           6      0.0294     0.02204  0.00236421
           7     0.01202   0.0206086  0.00242133
           8      0.0266   0.0213575  0.00223148
           9     0.02514   0.0217778  0.00202273
          10     0.02846    0.022446  0.00192767
          11     0.03198   0.0233127  0.00193751
          12     0.01776     0.02285  0.00183047
          13     0.03312     0.02364  0.00185231
          14     0.02854     0.02399  0.00175276
          15      0.0253   0.0240773  0.00163808
          16     0.01234   0.0233437  0.00169201
          17     0.03258   0.0238871  0.00167744
          18     0.01986   0.0236633   0.0015991
          19     0.00218   0.0225326  0.00187249
          20     0.01626    0.022219  0.00180494
# Temperatura= 2.2
           1     0.02968     0.02968           0
           2     0.02124     0.02546  0.00298399
           3      0.0312   0.0273733  0.00252942
           4      0.0271    0.027305  0.00189799
           5     0.02884    0.027612  0.00154302
           6     0.03274   0.0284667  0.00150404
           7     0.01384   0.0263771  0.00232473
           8      0.0274    0.026505  0.00203765
           9      0.0244   0.0262711  0.00182462
          10     0.02698    0.026342  0.00164353
          11      0.0332   0.0269655  0.00160803
          12     0.02396    0.026715   0.0014934
          13     0.01418   0.0257508  0.00166089
          14     0.03312   0.0262771  0.00162352
          15     0.01852     0.02576  0.00159553
          16     0.02094   0.0254587  0.00152398
          17     0.01398   0.0247835  0.00157684
          18     0.03076   0.0251156  0.00152379
          19      0.0348   0.0256253  0.00152646
          20     0.01156    0.024922  0.00160398
# Temperatura= 2.3
           1     0.02534     0.02534           0
           2     0.03358     0.02946  0.00291328
           3     0.01156   0.0234933  0.00524463
           4     0.03396     0.02611  0.00453954
           5     0.02672    0.026232  0.00363327
           6     0.01268   0.0239733  0.00366312
           7     0.01572   0.0227943  0.00332415
           8     0.02352    0.022885  0.00290987
           9     0.01066   0.0215267  0.00288623
          10     0.00196     0.01957  0.00319269
          11     0.01456   0.0191145  0.00293475
          12      0.0217     0.01933  0.00269808
          13       0.014     0.01892   0.0025215
          14     0.02418   0.0192957  0.00236922
          15     0.01152   0.0187773  0.00226727
          16     0.02602     0.01923  0.00217028
          17     0.03334     0.02006   0.0021956
          18     0.02336   0.0202433  0.00208127
          19     0.01234   0.0198274  0.00201286
          20     0.02192    0.019932  0.00191494
# Temperatura= 2.4
           1     0.02816     0.02816           0
           2      0.0294     0.02878 0.000438406
           3     0.01962   0.0257267  0.00251011
           4     0.02514     0.02558  0.00188686
           5     0.00878     0.02222  0.00336307
           6     0.03282   0.0239867  0.00323346
           7     0.02616   0.0242971   0.0027864
           8     0.02514   0.0244025  0.00244009
