#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
# Temperatura= 0.5
          10    0.272272    0.270694 0.000333713
          11    0.275314    0.271114 0.000502396
          12    0.270753    0.271084 0.000461427
          13    0.271203    0.271093 0.000426024
          14    0.272598      0.2712  0.00040894
          15    0.270822    0.271175 0.000382453
          16    0.271393    0.271189 0.000358792
          17    0.270632    0.271156 0.000339178
          18    0.271841    0.271194 0.000322464
          19    0.269608    0.271111 0.000316114
          20    0.269956    0.271053 0.000305539
# Temperatura= 1.7
           1    0.247927    0.247927           0
           2    0.250212    0.249069 0.000808146
           3    0.246996    0.248378 0.000780245
           4    0.249439    0.248643  0.00062862
           5    0.247764    0.248468 0.000526906
           6      0.2503    0.248773 0.000520097
           7     0.24664    0.248468 0.000527551
           8    0.248427    0.248463 0.000461632
           9    0.248809    0.248501 0.000411936
          10     0.24853    0.248504 0.000370752
          11    0.251548    0.248781 0.000428006
          12    0.249848     0.24887 0.000401465
          13    0.249336    0.248906 0.000372183
          14    0.246981    0.248768 0.000370123
          15    0.250314    0.248871 0.000359511
          16    0.247321    0.248774 0.000349851
          17    0.249804    0.248835 0.000334472
          18    0.249833     0.24889 0.000320455
          19    0.247454    0.248815 0.000312376
          20    0.249043    0.248826 0.000296966
# Temperatura= 1.8
           1    0.229243    0.229243           0
           2    0.229131    0.229187 3.98635e-05
           3     0.23064    0.229671 0.000396296
           4    0.231999    0.230253 0.000585131
           5    0.231753    0.230553 0.000539531
           6    0.228905    0.230278 0.000514821
           7    0.231556    0.230461 0.000472501
           8    0.231036    0.230533 0.000418881
           9    0.230192    0.230495 0.000374044
          10    0.227935    0.230239  0.00041507
          11    0.229893    0.230208 0.000378525
          12      0.2309    0.230265 0.000351354
          13    0.231123    0.230331 0.000330464
          14    0.229268    0.230255 0.000315461
          15    0.229531    0.230207 0.000298103
          16    0.230776    0.230243 0.000281586
          17     0.23003     0.23023 0.000265299
          18    0.228892    0.230156 0.000260764
          19    0.228603    0.230074 0.000259526
          20    0.231383     0.23014 0.000254664
# Temperatura= 1.9
           1    0.210314    0.210314           0
           2    0.211828    0.211071 0.000535154
           3    0.213928    0.212023 0.000855595
           4    0.213441    0.212378 0.000711307
           5    0.213175    0.212537 0.000586653
           6    0.213419    0.212684 0.000506976
           7    0.211956     0.21258 0.000445079
           8    0.211623    0.212461 0.000405201
           9    0.211956    0.212404 0.000364029
          10    0.213026    0.212467 0.000332888
          11    0.212225    0.212445 0.000303351
          12    0.212385     0.21244 0.000278112
          13    0.211116    0.212338 0.000274724
          14    0.212962    0.212382 0.000258693
          15    0.213196    0.212437  0.00024707
          16    0.212032    0.212411 0.000232922
          17    0.214498    0.212534 0.000249467
          18    0.213334    0.212579 0.000239537
          19    0.213377    0.212621 0.000230585
          20    0.211871    0.212583 0.000222085
# Temperatura= 2
           1    0.196999    0.196999           0
           2    0.197118    0.197059 4.23015e-05
           3    0.196584      0.1969 0.000132327
           4    0.197897     0.19715 0.000237607
           5    0.195832    0.196886 0.000302774
           6    0.196491     0.19682 0.000259369
           7    0.196482    0.196772 0.000226777
           8    0.196046    0.196681 0.000215818
           9    0.196482    0.196659 0.000192972
          10    0.197155    0.196709 0.000179941
          11    0.196953    0.196731 0.000164945
          12    0.196953    0.196749 0.000152233
          13    0.197586    0.196814 0.000153541
          14    0.196934    0.196822 0.000142815
          15    0.197605    0.196874 0.000142504
          16     0.19721    0.196895 0.000135135
          17    0.196491    0.196872 0.000129262
          18    0.196074    0.196827 0.000129457
          19    0.196741    0.196823 0.000122724
          20    0.196297    0.196796 0.000119375
# Temperatura= 2.1
           1    0.183303    0.183303           0
           2    0.180741    0.182022 0.000905803
           3    0.181749    0.181931 0.000608431
           4    0.182055    0.181962 0.000457118
           5    0.182031    0.181976 0.000365903
           6    0.181878     0.18196 0.000305283
           7    0.181587    0.181906 0.000266271
           8    0.182809    0.182019 0.000255792
           9    0.181765    0.181991 0.000228925
          10    0.181886     0.18198 0.000206273
          11     0.18153     0.18194 0.000191538
          12    0.181951     0.18194 0.000175578
          13    0.183088    0.182029 0.000182933
          14    0.181514    0.181992 0.000173521
          15    0.182873    0.182051 0.000171608
          16    0.181708    0.182029 0.000162211
          17    0.180953    0.181966 0.000164557
          18    0.181951    0.181965 0.000155417
          19    0.182473    0.181992  0.00014952
          20    0.181902    0.181987 0.000142111
# Temperatura= 2.2
           1    0.169271    0.169271           0
           2    0.169489     0.16938 7.69022e-05
           3    0.169194    0.169318 7.20666e-05
           4    0.169391    0.169336 5.62911e-05
           5     0.16882    0.169233 0.000102697
           6    0.169852    0.169336 0.000127282
           7    0.168912    0.169276 0.000122675
           8    0.169699    0.169328 0.000118192
           9    0.169734    0.169373 0.000113308
          10    0.169349    0.169371 0.000102005
          11    0.168288    0.169273 0.000131941
          12     0.16932    0.169277 0.000121006
          13    0.169215    0.169272  0.00011179
          14    0.167616    0.169154 0.000154154
          15    0.169524    0.169178  0.00014584
          16    0.169356    0.169189 0.000137145
          17    0.168345     0.16914 0.000137776
          18    0.170442    0.169212 0.000147916
          19     0.16791    0.169144 0.000155196
          20    0.169922    0.169182 0.000152238
# Temperatura= 2.3
           1    0.156848    0.156848           0
           2    0.158042    0.157445 0.000421829
           3    0.156936    0.157275 0.000313519
           4    0.157815     0.15741 0.000262536
           5    0.156742    0.157277 0.000241626
           6     0.15693    0.157219 0.000208161
           7    0.157876    0.157313 0.000198477
           8    0.158384    0.157446 0.000214104
           9    0.157735    0.157478 0.000192694
          10    0.156648    0.157395 0.000190464
          11    0.155994    0.157268 0.000211504
          12    0.156372    0.157193 0.000206629
          13    0.157153     0.15719 0.000190757
          14    0.157728    0.157229 0.000180962
          15    0.157197    0.157227 0.000168911
          16    0.158182    0.157286 0.000168581
          17    0.157648    0.157308 0.000160004
          18    0.156749    0.157277 0.000154101
          19    0.157605    0.157294 0.000146958
          20    0.157185    0.157288 0.000139712
# Temperatura= 2.4
           1    0.146039    0.146039           0
           2    0.146282     0.14616 8.59143e-05
           3    0.147064    0.146461 0.000252571
           4    0.147156    0.146635 0.000241893
           5    0.146337    0.146575 0.000200741
           6    0.146639    0.146586 0.000167561
           7    0.146628    0.146592 0.000143729
           8    0.146282    0.146553 0.000130892
           9    0.146348     0.14653 0.000118322
          10    0.147162    0.146593 0.000122177
          11     0.14648    0.146583 0.000111507
          12    0.145844    0.146521 0.000117983
          13    0.146469    0.146517 0.000108977
          14    0.145889    0.146472 0.000110052
          15    0.147151    0.146518 0.000111617
          16    0.147453    0.146576 0.000118981
          17    0.146944    0.146598 0.000113935
          18    0.146226    0.146577 0.000109458
          19    0.146649    0.146581 0.000103763
          20    0.146884    0.146596 9.96769e-05
# Temperatura= 2.5
           1    0.137471    0.137471           0
           2    0.137071    0.137271 0.000141569
           3    0.136735    0.137092 0.000173697
           4    0.136402     0.13692 0.000198256
           5    0.136803    0.136897 0.000159964
           6    0.135968    0.136742 0.000194287
           7    0.136589     0.13672  0.00016776
           8    0.137385    0.136803 0.000166102
           9    0.137298    0.136858 0.000156487
          10    0.136633    0.136835 0.000142452
          11    0.136988    0.136849 0.000130178
          12    0.136613     0.13683  0.00012081
          13    0.137211    0.136859 0.000115025
          14    0.136662    0.136845 0.000107667
          15     0.13836    0.136946 0.000140091
          16    0.137754    0.136996 0.000140137
          17    0.137414    0.137021 0.000134024
          18    0.136412    0.136987 0.000130779
          19    0.136657     0.13697 0.000125045
          20    0.137466    0.136995 0.000121233
# Temperatura= 2.6
           1    0.128113    0.128113           0
           2    0.127029    0.127571 0.000383353
           3    0.128221    0.127788 0.000310867
           4    0.128864    0.128057 0.000329609
           5    0.128838    0.128213 0.000298462
           6    0.128026    0.128182 0.000250335
           7    0.127848    0.128134 0.000219071
           8    0.127892    0.128104 0.000193776
           9      0.1278     0.12807 0.000175162
          10    0.128234    0.128086 0.000158413
          11    0.128109    0.128088 0.000144024
          12    0.127939    0.128076 0.000132557
          13    0.127965    0.128068 0.000122633
          14    0.127835    0.128051 0.000114995
          15    0.127717    0.128029 0.000109463
          16    0.127414     0.12799 0.000109156
          17     0.12773    0.127975 0.000103803
          18    0.128552    0.128007 0.000102874
          19    0.128565    0.128036 0.000101567
          20    0.127699     0.12802 9.78767e-05
# Temperatura= 2.7
           1    0.120158    0.120158           0
           2     0.11968    0.119919 0.000169252
           3    0.119597    0.119812  0.00014283
           4      0.1201    0.119884 0.000124012
           5    0.120466        0.12 0.000143845
           6    0.119774    0.119963 0.000124738
           7    0.120124    0.119986 0.000109018
           8    0.120497     0.12005 0.000112573
           9    0.119922    0.120035 0.000100955
          10    0.119656    0.119997 9.77199e-05
          11     0.11929    0.119933 0.000107964
          12    0.119586    0.119904 0.000102779
          13    0.119703    0.119889 9.60274e-05
          14    0.119805    0.119883 8.93545e-05
          15    0.119586    0.119863 8.55652e-05
          16    0.119778    0.119858 8.03834e-05
          17     0.12005    0.119869 7.64484e-05
          18    0.120428      0.1199 7.82563e-05
          19    0.120151    0.119913 7.52424e-05
          20    0.120128    0.119924 7.22398e-05
# Temperatura= 2.8
           1    0.112419    0.112419           0
           2    0.112709    0.112564 0.000102641
           3    0.112503    0.112543 7.04078e-05
           4    0.112924    0.112638 9.78503e-05
           5    0.112869    0.112684 8.84364e-05
