# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
#blocco numero 1
     5.56257   0.0357727   0.0254818  0.00794375
#blocco numero 8
   0.0942809  0.00874063  0.00742401  0.00166778
    0.282843   0.0529348   0.0567251  0.00923593
    0.471405    0.114365    0.153437   0.0395873
    0.659966    0.221241    0.250958   0.0137289
    0.848528    0.339313    0.330351   0.0192659
     1.03709    0.470373    0.434687   0.0169238
     1.22565    0.513315    0.466635   0.0208348
     1.41421    0.538776    0.450952   0.0198295
     1.60278    0.438848    0.448132   0.0179758
     1.79134    0.453604    0.449384   0.0105845
      1.9799    0.377001    0.405196   0.0118641
     2.16846    0.337496    0.334688   0.0139073
     2.35702    0.301404    0.295757   0.0164637
     2.54558     0.19416    0.191078   0.0186973
     2.73415    0.213581    0.174816  0.00673858
     2.92271    0.154483    0.142606    0.012302
     3.11127    0.172848    0.119843   0.0169813
     3.29983    0.101818   0.0882011  0.00827888
     3.48839   0.0416162   0.0553194  0.00845833
     3.67696    0.042721   0.0534964  0.00857258
     3.86552   0.0497676   0.0565072  0.00751148
     4.05408   0.0483681   0.0626146   0.0107798
     4.24264   0.0230055   0.0300306  0.00469764
      4.4312   0.0248715   0.0247978  0.00663778
     4.61976   0.0321635   0.0305431  0.00503836
     4.80833  0.00230792   0.0218025  0.00841327
     4.99689  0.00670278   0.0463394   0.0174907
     5.18545   0.0031918  0.00635291  0.00211309
     5.37401 0.000883883   0.0165636  0.00626049
     5.56257   0.0118588   0.0237789  0.00713097
#blocco numero 9
   0.0942809  0.00184142  0.00680372  0.00159365
    0.282843   0.0218025   0.0528448  0.00898794
    0.471405    0.136904      0.1516   0.0352313
    0.659966       0.266     0.25263   0.0123048
    0.848528    0.297009    0.326647   0.0174778
     1.03709    0.358513    0.426223   0.0170287
     1.22565     0.40639    0.459941   0.0195656
     1.41421    0.507619    0.457249    0.018599
     1.60278    0.562665    0.460858   0.0199817
     1.79134    0.474916    0.452221  0.00978123
      1.9799    0.292369     0.39266   0.0158402
     2.16846    0.251833    0.325482   0.0151048
     2.35702    0.369267    0.303925   0.0165368
     2.54558    0.403026    0.214628   0.0277343
     2.73415    0.222076    0.180067  0.00777103
     2.92271    0.181687    0.146948   0.0116764
     3.11127    0.229245    0.131999   0.0189523
     3.29983   0.0661931   0.0857558   0.0077117
     3.48839   0.0670033   0.0566176  0.00761749
     3.67696   0.0694585     0.05527  0.00780138
     3.86552   0.0475824   0.0555155  0.00674201
     4.05408   0.0147559   0.0572969   0.0108144
     4.24264  0.00545061   0.0272995  0.00490576
      4.4312    0.011515    0.023322  0.00606211
     4.61976   0.0084951   0.0280933  0.00503904
     4.80833  0.00201329   0.0196037  0.00776047
     4.99689   0.0139948   0.0427456   0.0159122
     5.18545    0.010803  0.00684737  0.00193529
     5.37401  0.00287262   0.0150424  0.00574672
     5.56257           0   0.0211368  0.00681054
#blocco numero 10
   0.0942809  0.00385471  0.00650882  0.00146132
    0.282843   0.0357236   0.0511327  0.00825061
    0.471405    0.137714    0.150211   0.0317355
    0.659966    0.210266    0.248393    0.011781
    0.848528    0.316258    0.325608   0.0157609
     1.03709     0.36362    0.419963   0.0164364
     1.22565    0.515599    0.465507   0.0183836
     1.41421    0.497234    0.461247   0.0171635
     1.60278    0.437129    0.458485   0.0181239
     1.79134     0.46971     0.45397   0.0089581
      1.9799    0.394089    0.392803   0.0142568
     2.16846    0.399417    0.332875   0.0152972
     2.35702    0.243706    0.297903   0.0159419
     2.54558      0.3263    0.225795    0.027116
     2.73415    0.251023    0.187162  0.00970711
     2.92271    0.236954    0.155949   0.0135404
     3.11127   0.0892477    0.127724   0.0175326
     3.29983    0.103611   0.0875413  0.00714424
     3.48839     0.09104   0.0600599  0.00759377
     3.67696    0.062633   0.0560063   0.0070559
     3.86552   0.0291682   0.0528808  0.00656247
     4.05408   0.0131846   0.0528857   0.0105945
     4.24264   0.0567895   0.0302485  0.00522693
      4.4312   0.0154434   0.0225341  0.00550685
     4.61976  0.00358464   0.0256424  0.00509642
     4.80833           0   0.0176433  0.00722779
     4.99689           0    0.038471   0.0148841
     5.18545           0  0.00616263  0.00185895
     5.37401           0   0.0135381  0.00536531
     5.56257           0   0.0190231  0.00644914
#blocco numero 11
   0.0942809  0.00142403  0.00604657  0.00139967
    0.282843    0.037074   0.0498546  0.00759889
    0.471405    0.100959    0.145734   0.0291646
    0.659966   0.0851965    0.233557   0.0177427
    0.848528    0.253846    0.319084     0.01562
