# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
blocco numero 1
     4.12531           0 1.32425e-05  1.2563e-05
blocco numero 11
   0.0699206  0.00930288  0.00968511 0.000730517
    0.209762   0.0739596   0.0759339  0.00160706
    0.349603    0.178245    0.197208  0.00347322
    0.489444    0.334672    0.353705  0.00350654
    0.629285     0.49302    0.519562   0.0072502
    0.769126    0.673648    0.651638  0.00747157
    0.908968    0.727545    0.750003  0.00485271
     1.04881    0.772801    0.787061  0.00764945
     1.18865     0.79336    0.758189  0.00843863
     1.32849    0.752308     0.70583  0.00800663
     1.46833    0.630411    0.600633  0.00723991
     1.60817    0.490934    0.502425  0.00659478
     1.74801    0.396018    0.393505  0.00609881
     1.88786    0.295375    0.299131  0.00626229
      2.0277    0.210027    0.204113  0.00498664
     2.16754    0.135041    0.138011  0.00382739
     2.30738   0.0816071   0.0856642  0.00223285
     2.44722   0.0469117   0.0506948  0.00170294
     2.58706   0.0249622   0.0300034  0.00232921
      2.7269   0.0136398   0.0177751  0.00163522
     2.86674   0.0124149   0.0100734  0.00110905
     3.00659  0.00384034  0.00542944 0.000854703
     3.14643 0.000926978  0.00256725 0.000431997
     3.28627           0  0.00105037 0.000424845
     3.42611           0  0.00026786  0.00014081
     3.56595           0 0.000319025 0.000169841
     3.70579           0 0.000189609 0.000122778
     3.84563           0 0.000126406 0.000120523
     3.98547           0   9.029e-06 8.60882e-06
     4.12531           0 1.20387e-05 1.14784e-05
blocco numero 12
   0.0699206  0.00857454  0.00959256 0.000675478
    0.209762   0.0705496   0.0754852   0.0015345
    0.349603    0.223799    0.199424  0.00382588
    0.489444     0.40009    0.357571  0.00490186
    0.629285    0.523511    0.519891  0.00665348
    0.769126    0.639085    0.650592  0.00692179
    0.908968    0.722082    0.747676  0.00497494
     1.04881    0.731253     0.78241   0.0083063
     1.18865    0.803623    0.761976  0.00854266
     1.32849    0.755321    0.709954   0.0083342
     1.46833    0.598927    0.600491  0.00663798
     1.60817    0.495503    0.501848  0.00607039
     1.74801    0.378174    0.392227  0.00572283
     1.88786     0.27412    0.297047  0.00607737
      2.0277    0.218998    0.205353  0.00472286
     2.16754    0.131167    0.137441  0.00355068
     2.30738   0.0854806   0.0856489  0.00204683
     2.44722   0.0458192   0.0502885  0.00160876
     2.58706   0.0236379   0.0294729  0.00219468
      2.7269   0.0146992   0.0175188  0.00151891
     2.86674  0.00466799  0.00962291  0.00110433
     3.00659  0.00135736   0.0050901 0.000848171
     3.14643 0.000529701  0.00239745 0.000428068
     3.28627           0 0.000962843 0.000398356
     3.42611           0 0.000245539 0.000130833
     3.56595           0 0.000292439 0.000157754
     3.70579           0 0.000173808 0.000113558
     3.84563           0 0.000115872 0.000110939
     3.98547           0 8.27658e-06 7.92423e-06
     4.12531           0 1.10354e-05 1.05656e-05
blocco numero 13
   0.0699206   0.0111899  0.00971544 0.000634595
    0.209762   0.0724367   0.0752507  0.00143427
    0.349603    0.201717    0.199601  0.00353565
    0.489444    0.363177    0.358002  0.00454372
    0.629285    0.529337    0.520618  0.00618123
    0.769126    0.664643    0.651673  0.00647318
    0.908968    0.764392    0.748962  0.00475552
     1.04881    0.746118    0.779619  0.00812297
     1.18865     0.74486    0.760659  0.00798635
     1.32849    0.708443    0.709838  0.00769392
     1.46833    0.630676    0.602813  0.00652082
     1.60817    0.510467    0.502511  0.00563952
     1.74801    0.381451    0.391398  0.00534231
     1.88786     0.25674    0.293946  0.00635174
      2.0277    0.187349    0.203968   0.0045581
     2.16754    0.147787    0.138237  0.00336555
     2.30738     0.10604   0.0872174  0.00241677
     2.44722   0.0570753   0.0508106  0.00156743
     2.58706   0.0293984   0.0294672  0.00202586
      2.7269   0.0151296    0.017335  0.00141315
     2.86674   0.0100643  0.00965686   0.0010199
     3.00659  0.00503216  0.00508564 0.000782938
     3.14643  0.00278093  0.00242695 0.000396154
     3.28627  0.00466799  0.00124785 0.000458472
     3.42611           0 0.000226651 0.000122124
